transaction_id,customer_id,transaction_date,amount
1,2890,01-01-2023 00:00,21.59
2,1866,01-01-2023 00:01,183.07
3,2341,01-01-2023 00:02,787.37
4,6623,01-01-2023 00:03,232.32
5,8012,01-01-2023 00:04,591.5
6,5563,01-01-2023 00:05,282.1
7,7108,01-01-2023 00:06,35.73
8,9761,01-01-2023 00:07,964.95
9,4139,01-01-2023 00:08,272.05
10,6533,01-01-2023 00:09,582.94
11,2849,01-01-2023 00:10,531.8
12,2666,01-01-2023 00:11,949.53
13,3455,01-01-2023 00:12,824.32
14,7824,01-01-2023 00:13,421.61
15,7632,01-01-2023 00:14,606.69
16,6657,01-01-2023 00:15,292.15
17,7129,01-01-2023 00:16,616.79
18,7796,01-01-2023 00:17,857.99
19,2597,01-01-2023 00:18,627.48
20,8954,01-01-2023 00:19,121.47
21,2786,01-01-2023 00:20,886.49
22,2635,01-01-2023 00:21,529.1
23,8029,01-01-2023 00:22,164.33
24,6034,01-01-2023 00:23,80.11
25,6609,01-01-2023 00:24,248.63
26,4971,01-01-2023 00:25,90.67
27,4433,01-01-2023 00:26,240.15
28,7635,01-01-2023 00:27,200.41
29,8001,01-01-2023 00:28,184.08
30,6479,01-01-2023 00:29,958.12
31,2628,01-01-2023 00:30,34.35
32,3531,01-01-2023 00:31,987.77
33,4658,01-01-2023 00:32,589.7
34,4619,01-01-2023 00:33,763.32
35,5474,01-01-2023 00:34,72.08
36,1329,01-01-2023 00:35,245.36
37,4156,01-01-2023 00:36,202.54
38,7704,01-01-2023 00:37,900.36
39,8321,01-01-2023 00:38,49.85
40,6881,01-01-2023 00:39,192.94
41,9443,01-01-2023 00:40,754.88
42,5360,01-01-2023 00:41,264.34
43,3293,01-01-2023 00:42,528.95
44,2943,01-01-2023 00:43,127.23
45,4860,01-01-2023 00:44,120.16
46,1691,01-01-2023 00:45,200.44
47,5035,01-01-2023 00:46,505.57
48,8979,01-01-2023 00:47,461.63
49,6183,01-01-2023 00:48,153.9
50,5244,01-01-2023 00:49,968.6
51,9034,01-01-2023 00:50,426.83
52,6359,01-01-2023 00:51,370.36
53,9424,01-01-2023 00:52,968.98
54,2709,01-01-2023 00:53,158.32
55,8348,01-01-2023 00:54,147.37
56,7006,01-01-2023 00:55,556.65
57,5818,01-01-2023 00:56,900.11
58,2911,01-01-2023 00:57,638.34
59,6411,01-01-2023 00:58,176.49
60,6332,01-01-2023 00:59,773.29
61,7749,01-01-2023 01:00,684.53
62,3976,01-01-2023 01:01,632.8
63,7219,01-01-2023 01:02,459.99
64,5168,01-01-2023 01:03,102.7
65,5197,01-01-2023 01:04,260.81
66,7223,01-01-2023 01:05,591.3
67,5987,01-01-2023 01:06,223.73
68,9546,01-01-2023 01:07,602.08
69,6306,01-01-2023 01:08,397.67
70,5993,01-01-2023 01:09,646.21
71,9529,01-01-2023 01:10,562.49
72,3513,01-01-2023 01:11,52.31
73,3859,01-01-2023 01:12,215.91
74,7798,01-01-2023 01:13,225.84
75,7351,01-01-2023 01:14,142.59
76,6462,01-01-2023 01:15,720.25
77,2735,01-01-2023 01:16,779.04
78,5453,01-01-2023 01:17,698.92
79,5541,01-01-2023 01:18,231.22
80,9453,01-01-2023 01:19,315.12
81,3593,01-01-2023 01:20,346.82
82,7097,01-01-2023 01:21,60.47
83,4655,01-01-2023 01:22,474.66
84,5596,01-01-2023 01:23,355.96
85,4622,01-01-2023 01:24,174.35
86,4748,01-01-2023 01:25,886.72
87,7257,01-01-2023 01:26,318.36
88,4870,01-01-2023 01:27,219.09
89,7788,01-01-2023 01:28,776.03
90,5966,01-01-2023 01:29,536.83
